model,condition,metric,mean,ci_low,ci_high,n
qwen2.5:0.5b-instruct,baseline,j1_heart_correct,0.475,0.38333333333333336,0.5583333333333333,120
qwen2.5:0.5b-instruct,baseline,j1_act_correct,0.15833333333333333,0.09166666666666666,0.23333333333333334,120
qwen2.5:0.5b-instruct,baseline,j2_heart_correct,0.48333333333333334,0.4,0.575,120
qwen2.5:0.5b-instruct,baseline,j2_act_correct,0.16666666666666666,0.1,0.24166666666666667,120
qwen2.5:0.5b-instruct,baseline,any_revision,0.8916666666666667,0.8333333333333334,0.9416666666666667,120
qwen2.5:0.5b-instruct,baseline,heart_revision,0.8916666666666667,0.8333333333333334,0.9416666666666667,120
qwen2.5:0.5b-instruct,baseline,act_revision,0.8916666666666667,0.8333333333333334,0.9416666666666667,120
qwen2.5:0.5b-instruct,baseline,heart_revision_toward_gold,0.45,0.36666666666666664,0.5416666666666666,120
qwen2.5:0.5b-instruct,baseline,act_revision_toward_gold,0.15833333333333333,0.09166666666666666,0.23333333333333334,120
qwen2.5:0.5b-instruct,baseline,explanation_direct_frame_echo_rate,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,baseline,explanation_christianization_score,0.019252156139944653,0.016215893591677896,0.022678105089569477,120
qwen2.5:0.5b-instruct,baseline,explanation_heart_focus_inclusive,0.009891109476641983,0.004216779204796722,0.01587823584785244,120
qwen2.5:0.5b-instruct,baseline,explanation_heart_focus_controlled,-0.010424023048299015,-0.014864370696963133,-0.005757165249938691,120
qwen2.5:0.5b-instruct,baseline,explanation_structure_score,0.5895833333333333,0.55,0.63125,120
qwen2.5:0.5b-instruct,christian_post,j1_heart_correct,0.475,0.38333333333333336,0.5583333333333333,120
qwen2.5:0.5b-instruct,christian_post,j1_act_correct,0.15833333333333333,0.09166666666666666,0.23333333333333334,120
qwen2.5:0.5b-instruct,christian_post,j2_heart_correct,0.5,0.4083333333333333,0.5916666666666667,120
qwen2.5:0.5b-instruct,christian_post,j2_act_correct,0.15833333333333333,0.09166666666666666,0.225,120
qwen2.5:0.5b-instruct,christian_post,any_revision,0.7916666666666666,0.7166666666666667,0.8666666666666667,120
qwen2.5:0.5b-instruct,christian_post,heart_revision,0.7916666666666666,0.7166666666666667,0.8666666666666667,120
qwen2.5:0.5b-instruct,christian_post,act_revision,0.7916666666666666,0.7166666666666667,0.8666666666666667,120
qwen2.5:0.5b-instruct,christian_post,heart_revision_toward_gold,0.4083333333333333,0.325,0.5,120
qwen2.5:0.5b-instruct,christian_post,act_revision_toward_gold,0.14166666666666666,0.08333333333333333,0.20833333333333334,120
qwen2.5:0.5b-instruct,christian_post,explanation_direct_frame_echo_rate,0.033153222380940046,0.02948168281107662,0.03671632340722712,120
qwen2.5:0.5b-instruct,christian_post,explanation_christianization_score,0.033153222380940046,0.02948168281107662,0.03671632340722712,120
qwen2.5:0.5b-instruct,christian_post,explanation_heart_focus_inclusive,0.022133838068359904,0.017378989235073673,0.026748142746597797,120
qwen2.5:0.5b-instruct,christian_post,explanation_heart_focus_controlled,-0.008047487618323591,-0.01204318938383028,-0.004191868236699476,120
qwen2.5:0.5b-instruct,christian_post,explanation_structure_score,0.6229166666666667,0.575,0.6708333333333333,120
qwen2.5:0.5b-instruct,christian_pre,j1_heart_correct,0.5,0.4166666666666667,0.5916666666666667,120
qwen2.5:0.5b-instruct,christian_pre,j1_act_correct,0.16666666666666666,0.10833333333333334,0.24166666666666667,120
qwen2.5:0.5b-instruct,christian_pre,j2_heart_correct,0.49166666666666664,0.4,0.5833333333333334,120
qwen2.5:0.5b-instruct,christian_pre,j2_act_correct,0.15833333333333333,0.1,0.225,120
qwen2.5:0.5b-instruct,christian_pre,any_revision,0.7416666666666667,0.6666666666666666,0.8166666666666667,120
qwen2.5:0.5b-instruct,christian_pre,heart_revision,0.7416666666666667,0.6666666666666666,0.8166666666666667,120
qwen2.5:0.5b-instruct,christian_pre,act_revision,0.7416666666666667,0.6666666666666666,0.8166666666666667,120
qwen2.5:0.5b-instruct,christian_pre,heart_revision_toward_gold,0.36666666666666664,0.2833333333333333,0.4583333333333333,120
qwen2.5:0.5b-instruct,christian_pre,act_revision_toward_gold,0.10833333333333334,0.058333333333333334,0.16666666666666666,120
qwen2.5:0.5b-instruct,christian_pre,explanation_direct_frame_echo_rate,0.02023756470128144,0.016157452183735658,0.02458603326638596,120
