model,condition,metric,mean_diff,ci_low,ci_high,n
qwen2.5:0.5b-instruct,baseline,j1_heart_correct,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,j1_act_correct,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,j2_heart_correct,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,j2_act_correct,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,any_revision,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,heart_revision,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,act_revision,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,heart_revision_toward_gold,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,act_revision_toward_gold,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,explanation_direct_frame_echo_rate,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,explanation_christianization_score,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,explanation_heart_focus_inclusive,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,explanation_heart_focus_controlled,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,baseline,explanation_structure_score,0.0,0.0,0.0,0
qwen2.5:0.5b-instruct,christian_post,j1_heart_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,christian_post,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,christian_post,j2_heart_correct,0.016666666666666666,-0.03333333333333333,0.06666666666666667,120
qwen2.5:0.5b-instruct,christian_post,j2_act_correct,-0.008333333333333333,-0.03333333333333333,0.016666666666666666,120
qwen2.5:0.5b-instruct,christian_post,any_revision,-0.1,-0.15,-0.05,120
qwen2.5:0.5b-instruct,christian_post,heart_revision,-0.1,-0.15,-0.05,120
qwen2.5:0.5b-instruct,christian_post,act_revision,-0.1,-0.15,-0.05,120
qwen2.5:0.5b-instruct,christian_post,heart_revision_toward_gold,-0.041666666666666664,-0.08333333333333333,-0.008333333333333333,120
qwen2.5:0.5b-instruct,christian_post,act_revision_toward_gold,-0.016666666666666666,-0.041666666666666664,0.0,120
qwen2.5:0.5b-instruct,christian_post,explanation_direct_frame_echo_rate,0.033153222380940046,0.02948168281107662,0.03671632340722712,120
qwen2.5:0.5b-instruct,christian_post,explanation_christianization_score,0.013901066240995389,0.008703713519247707,0.01855879467346293,120
qwen2.5:0.5b-instruct,christian_post,explanation_heart_focus_inclusive,0.012242728591717923,0.004471790374612085,0.020203164184658246,120
qwen2.5:0.5b-instruct,christian_post,explanation_heart_focus_controlled,0.0023765354299754233,-0.003490654207016676,0.008746818084569846,120
qwen2.5:0.5b-instruct,christian_post,explanation_structure_score,0.03333333333333333,-0.027083333333333334,0.08958333333333333,120
qwen2.5:0.5b-instruct,christian_pre,j1_heart_correct,0.025,-0.025,0.08333333333333333,120
qwen2.5:0.5b-instruct,christian_pre,j1_act_correct,0.008333333333333333,-0.016666666666666666,0.03333333333333333,120
qwen2.5:0.5b-instruct,christian_pre,j2_heart_correct,0.008333333333333333,-0.08333333333333333,0.1,120
qwen2.5:0.5b-instruct,christian_pre,j2_act_correct,-0.008333333333333333,-0.058333333333333334,0.05,120
qwen2.5:0.5b-instruct,christian_pre,any_revision,-0.15,-0.25,-0.041666666666666664,120
qwen2.5:0.5b-instruct,christian_pre,heart_revision,-0.15,-0.25,-0.041666666666666664,120
qwen2.5:0.5b-instruct,christian_pre,act_revision,-0.15,-0.25,-0.041666666666666664,120
qwen2.5:0.5b-instruct,christian_pre,heart_revision_toward_gold,-0.08333333333333333,-0.15,-0.016666666666666666,120
qwen2.5:0.5b-instruct,christian_pre,act_revision_toward_gold,-0.05,-0.09166666666666666,-0.016666666666666666,120
qwen2.5:0.5b-instruct,christian_pre,explanation_direct_frame_echo_rate,0.02023756470128144,0.016157452183735658,0.02458603326638596,120
qwen2.5:0.5b-instruct,christian_pre,explanation_christianization_score,0.0009854085613367814,-0.004908052960398907,0.006250846441964446,120
qwen2.5:0.5b-instruct,christian_pre,explanation_heart_focus_inclusive,-0.008035357245674625,-0.016136965463372573,0.0004688671871120052,120
qwen2.5:0.5b-instruct,christian_pre,explanation_heart_focus_controlled,-0.006417219941461327,-0.011883092757586372,-0.0009370327457331749,120
qwen2.5:0.5b-instruct,christian_pre,explanation_structure_score,0.08541666666666667,0.035416666666666666,0.13541666666666666,120
qwen2.5:0.5b-instruct,judgment_only,j1_heart_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,judgment_only,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,judgment_only,j2_heart_correct,,,,0
qwen2.5:0.5b-instruct,judgment_only,j2_act_correct,,,,0
qwen2.5:0.5b-instruct,judgment_only,any_revision,,,,0
qwen2.5:0.5b-instruct,judgment_only,heart_revision,,,,0
qwen2.5:0.5b-instruct,judgment_only,act_revision,,,,0
qwen2.5:0.5b-instruct,judgment_only,heart_revision_toward_gold,,,,0
qwen2.5:0.5b-instruct,judgment_only,act_revision_toward_gold,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_direct_frame_echo_rate,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_christianization_score,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_heart_focus_inclusive,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_heart_focus_controlled,,,,0
qwen2.5:0.5b-instruct,judgment_only,explanation_structure_score,,,,0
qwen2.5:0.5b-instruct,secular_post,j1_heart_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,secular_post,j1_act_correct,0.0,0.0,0.0,120
qwen2.5:0.5b-instruct,secular_post,j2_heart_correct,0.016666666666666666,-0.016666666666666666,0.058333333333333334,120
qwen2.5:0.5b-instruct,secular_post,j2_act_correct,0.0,-0.025,0.025,120
qwen2.5:0.5b-instruct,secular_post,any_revision,-0.03333333333333333,-0.075,0.0,120
qwen2.5:0.5b-instruct,secular_post,heart_revision,-0.03333333333333333,-0.075,0.0,120
qwen2.5:0.5b-instruct,secular_post,act_revision,-0.03333333333333333,-0.075,0.0,120
qwen2.5:0.5b-instruct,secular_post,heart_revision_toward_gold,-0.008333333333333333,-0.03333333333333333,0.016666666666666666,120
qwen2.5:0.5b-instruct,secular_post,act_revision_toward_gold,-0.008333333333333333,-0.025,0.0,120
qwen2.5:0.5b-instruct,secular_post,explanation_direct_frame_echo_rate,0.017487634356359732,0.012193360339963226,0.023470362002752425,120
qwen2.5:0.5b-instruct,secular_post,explanation_christianization_score,0.0008186680690555504,-0.003391973601755901,0.004765426337792811,120
