model,condition_a,condition_b,metric,n_items,mean_a,mean_b,mean_diff,comparison,label,interpretation,bootstrap.mean_diff,bootstrap.ci_low,bootstrap.ci_high,bootstrap.n,permutation.observed_mean_diff,permutation.p_value,permutation.n,effect_size.effect_size_dz,effect_size.mean_diff,effect_size.sd_diff,effect_size.n
qwen2.5:0.5b-instruct,secular_pre,christian_pre,j1_heart_correct,120,0.4666666666666667,0.5,0.03333333333333333,christian_pre_vs_secular_pre_j1_heart,J1 heart correctness,"christian_pre exceeds secular_pre on J1 heart correctness; weak or null paired difference (diff=0.033, p=0.2095).",0.03333333333333333,0.0,0.075,120,0.03333333333333333,0.2095,120,0.15012620953011102,0.03333333333333333,0.22203540233024813,120
qwen2.5:0.5b-instruct,secular_pre,christian_pre,j1_act_correct,120,0.15833333333333333,0.16666666666666666,0.008333333333333333,christian_pre_vs_secular_pre_j1_act,J1 act correctness,"christian_pre exceeds secular_pre on J1 act correctness; weak or null paired difference (diff=0.008, p=1).",0.008333333333333333,-0.016666666666666666,0.03333333333333333,120,0.008333333333333333,1.0,120,0.05255761307997928,0.008333333333333333,0.1585561604681728,120
qwen2.5:0.5b-instruct,secular_post,christian_post,explanation_christianization_score,120,0.0200708242090002,0.033153222380940046,0.01308239817193984,christian_post_vs_secular_post_christianization,Explanation Christianization,"christian_post exceeds secular_post on Explanation Christianization; clear paired difference (diff=0.013, p=0).",0.01308239817193984,0.007814251825559742,0.017699591309060462,120,0.01308239817193984,0.0,120,0.48158242700584153,0.01308239817193984,0.027165439265044344,120
qwen2.5:0.5b-instruct,secular_post,christian_post,explanation_heart_focus_inclusive,120,0.006166327777874058,0.022133838068359904,0.015967510290485844,christian_post_vs_secular_post_heart_focus_inclusive,Explanation heart-focus (inclusive),"christian_post exceeds secular_post on Explanation heart-focus (inclusive); clear paired difference (diff=0.016, p=0).",0.015967510290485844,0.008663095510133867,0.02274058112864268,120,0.015967510290485844,0.0,120,0.40064267289257893,0.015967510290485844,0.03985474182069238,120
qwen2.5:0.5b-instruct,secular_post,christian_post,explanation_heart_focus_controlled,120,-0.023185574784327145,-0.008047487618323591,0.015138087166003556,christian_post_vs_secular_post_heart_focus_controlled,Explanation heart-focus (lexical controlled),"christian_post exceeds secular_post on Explanation heart-focus (lexical controlled); clear paired difference (diff=0.015, p=0).",0.015138087166003556,0.008472320939696314,0.022324428441127534,120,0.015138087166003556,0.0,120,0.41764460771885475,0.015138087166003556,0.03624633692432117,120
qwen2.5:0.5b-instruct,secular_post,christian_post,explanation_structure_score,120,0.5541666666666667,0.6229166666666667,0.06875,christian_post_vs_secular_post_structure,Explanation restructuring score,"christian_post exceeds secular_post on Explanation restructuring score; modest paired difference (diff=0.069, p=0.0366).",0.06875,0.010416666666666666,0.12916666666666668,120,0.06875,0.0366,120,0.20137384395938548,0.06875,0.34140481528408423,120
qwen2.5:0.5b-instruct,secular_post,christian_post,any_revision,120,0.8583333333333333,0.7916666666666666,-0.06666666666666667,christian_post_vs_secular_post_any_revision,Any J1->J2 revision rate,"christian_post falls below secular_post on Any J1->J2 revision rate; modest paired difference (diff=-0.067, p=0.0223).",-0.06666666666666667,-0.11666666666666667,-0.016666666666666666,120,-0.06666666666666667,0.0223,120,-0.23636527790887343,-0.06666666666666667,0.2820493232189918,120
qwen2.5:0.5b-instruct,secular_post,christian_post,heart_revision,120,0.8583333333333333,0.7916666666666666,-0.06666666666666667,christian_post_vs_secular_post_heart_revision,Heart J1->J2 revision rate,"christian_post falls below secular_post on Heart J1->J2 revision rate; modest paired difference (diff=-0.067, p=0.0223).",-0.06666666666666667,-0.11666666666666667,-0.016666666666666666,120,-0.06666666666666667,0.0223,120,-0.23636527790887343,-0.06666666666666667,0.2820493232189918,120
qwen2.5:0.5b-instruct,secular_post,christian_post,act_revision,120,0.8583333333333333,0.7916666666666666,-0.06666666666666667,christian_post_vs_secular_post_act_revision,Act J1->J2 revision rate,"christian_post falls below secular_post on Act J1->J2 revision rate; modest paired difference (diff=-0.067, p=0.0223).",-0.06666666666666667,-0.11666666666666667,-0.016666666666666666,120,-0.06666666666666667,0.0223,120,-0.23636527790887343,-0.06666666666666667,0.2820493232189918,120
qwen2.5:7b-instruct,secular_pre,christian_pre,j1_heart_correct,120,0.95,0.9666666666666667,0.016666666666666666,christian_pre_vs_secular_pre_j1_heart,J1 heart correctness,"christian_pre exceeds secular_pre on J1 heart correctness; weak or null paired difference (diff=0.017, p=0.7286).",0.016666666666666666,-0.03333333333333333,0.06666666666666667,120,0.016666666666666666,0.7286,120,0.06441453962362294,0.016666666666666666,0.25874075579909056,120
