model,slice,metric_label,condition_a,condition_b,metric,n_items,mean_a,mean_b,mean_diff,bootstrap.mean_diff,bootstrap.ci_low,bootstrap.ci_high,bootstrap.n,permutation.observed_mean_diff,permutation.p_value,permutation.n,effect_size.effect_size_dz,effect_size.mean_diff,effect_size.sd_diff,effect_size.n
qwen2.5:0.5b-instruct,motive_salience_core,J1 heart (christian_pre vs secular_pre),secular_pre,christian_pre,j1_heart_correct,80,0.45,0.475,0.025,0.025,0.0,0.0625,80,0.025,0.4969,80,0.15912420563984864,0.025,0.15710997518871123,80
qwen2.5:0.5b-instruct,motive_salience_core,Explanation controlled heart-focus (christian_post vs secular_post),secular_post,christian_post,explanation_heart_focus_controlled,80,-0.02228456769038036,-0.0072614340427269945,0.015023133647653364,0.015023133647653364,0.007837968738206028,0.02205677735061315,80,0.015023133647653364,0.0002,80,0.46469876263361903,0.015023133647653364,0.032328757585907336,80
qwen2.5:0.5b-instruct,appearance_vs_intention,J1 heart (christian_pre vs secular_pre),secular_pre,christian_pre,j1_heart_correct,60,0.45,0.4666666666666667,0.016666666666666666,0.016666666666666666,0.0,0.05,60,0.016666666666666666,1.0,60,0.12909944487358055,0.016666666666666666,0.12909944487358058,60
qwen2.5:0.5b-instruct,appearance_vs_intention,Explanation controlled heart-focus (christian_post vs secular_post),secular_post,christian_post,explanation_heart_focus_controlled,60,-0.027302009354466646,-0.009054156814844507,0.018247852539622137,0.018247852539622137,0.008728900065839483,0.02727329785534255,60,0.018247852539622137,0.0001,60,0.5145142949142789,0.018247852539622137,0.03546617211609706,60
qwen2.5:0.5b-instruct,good_act_bad_motive,J1 heart (christian_pre vs secular_pre),secular_pre,christian_pre,j1_heart_correct,20,0.5,0.5,0.0,0.0,0.0,0.0,20,0.0,1.0,20,,0.0,0.0,20
qwen2.5:0.5b-instruct,good_act_bad_motive,Explanation controlled heart-focus (christian_post vs secular_post),secular_post,christian_post,explanation_heart_focus_controlled,20,-0.01528033867032529,-0.0008017891909139908,0.0144785494794113,0.0144785494794113,-0.0004684816555067859,0.0313678552844621,20,0.0144785494794113,0.0968,20,0.38450797089754607,0.0144785494794113,0.03765474470038795,20
qwen2.5:0.5b-instruct,bad_act_good_motive,J1 heart (christian_pre vs secular_pre),secular_pre,christian_pre,j1_heart_correct,20,0.35,0.45,0.1,0.1,0.0,0.25,20,0.1,0.4891,20,0.32489314482696546,0.1,0.30779350562554625,20
qwen2.5:0.5b-instruct,bad_act_good_motive,Explanation controlled heart-focus (christian_post vs secular_post),secular_post,christian_post,explanation_heart_focus_controlled,20,-0.029041583460079085,-0.009110729738513712,0.01993085372156537,0.01993085372156537,0.005880529845536411,0.036126913025641756,20,0.01993085372156537,0.0155,20,0.5857094192406793,0.01993085372156537,0.03402856957192863,20
qwen2.5:0.5b-instruct,mixed_stakeholder_context,J1 heart (christian_pre vs secular_pre),secular_pre,christian_pre,j1_heart_correct,20,0.6,0.65,0.05,0.05,-0.1,0.2,20,0.05,1.0,20,0.1268924541304732,0.05,0.3940344628262061,20
qwen2.5:0.5b-instruct,mixed_stakeholder_context,Explanation controlled heart-focus (christian_post vs secular_post),secular_post,christian_post,explanation_heart_focus_controlled,20,-0.012885498512158566,-0.011209936335980318,0.0016755621761782454,0.0016755621761782454,-0.01599333979899834,0.018314701510316604,20,0.0016755621761782454,0.8581,20,0.04325149607694077,0.0016755621761782454,0.03873998192334345,20
qwen2.5:7b-instruct,motive_salience_core,J1 heart (christian_pre vs secular_pre),secular_pre,christian_pre,j1_heart_correct,80,0.9625,0.9625,0.0,0.0,-0.0625,0.0625,80,0.0,1.0,80,0.0,0.0,0.2755891273047752,80
